Measurement range, Samples in range, Total time in nanoseconds, Average time in nanoseconds
2⁰ to 2¹-1,1,21,21.00000
2¹ to 2²-1,2,27,13.50000
2² to 2³-1,4,56,14.00000
2³ to 2⁴-1,8,75,9.37500
2⁴ to 2⁵-1,16,191,11.93750
2⁵ to 2⁶-1,32,1069,33.40625
2⁶ to 2⁷-1,64,2546,39.78125
2⁷ to 2⁸-1,128,4950,38.67188
2⁸ to 2⁹-1,256,10853,42.39453
2⁹ to 2¹⁰-1,512,21214,41.43359
2¹⁰ to 2¹¹-1,1024,43037,42.02832
2¹¹ to 2¹²-1,2048,90181,44.03369
2¹² to 2¹³-1,4096,181919,44.41382
2¹³ to 2¹⁴-1,8192,371349,45.33069
2¹⁴ to 2¹⁵-1,16384,748707,45.69745
2¹⁵-30001 to 2¹⁵-1,30000,1346558,44.88527
2¹⁶-30001 to 2¹⁶-1,30000,1394178,46.47260
2¹⁷-30001 to 2¹⁷-1,30000,1414815,47.16050
2¹⁸-30001 to 2¹⁸-1,30000,1436840,47.89467
2¹⁹-30001 to 2¹⁹-1,30000,1520474,50.68247
2²⁰-30001 to 2²⁰-1,30000,1555391,51.84637
2²¹-30001 to 2²¹-1,30000,1597954,53.26513
2²²-30001 to 2²²-1,30000,1655914,55.19713
2²³-30001 to 2²³-1,30000,1675520,55.85067
2²⁴-30001 to 2²⁴-1,30000,1743063,58.10210
2²⁵-30001 to 2²⁵-1,30000,1777302,59.24340
2²⁶-30001 to 2²⁶-1,30000,1800089,60.00297
2²⁷-30001 to 2²⁷-1,30000,1815736,60.52453
2²⁸-30001 to 2²⁸-1,30000,1895241,63.17470
2²⁹-30001 to 2²⁹-1,30000,1936677,64.55590
2³⁰-30001 to 2³⁰-1,30000,1975664,65.85547
2³¹-30001 to 2³¹-1,30000,2003794,66.79313
2³²-30001 to 2³²-1,30000,2051605,68.38683
2³³-30001 to 2³³-1,30000,2191386,73.04620
2³⁴-30001 to 2³⁴-1,30000,2286239,76.20797
2³⁵-30001 to 2³⁵-1,30000,2341339,78.04463
2³⁶-30001 to 2³⁶-1,30000,2430480,81.01600
2³⁷-30001 to 2³⁷-1,30000,2355520,78.51733
2³⁸-30001 to 2³⁸-1,30000,2534358,84.47860
2³⁹-30001 to 2³⁹-1,30000,2572332,85.74440
2⁴⁰-30001 to 2⁴⁰-1,30000,2566629,85.55430
2⁴¹-30001 to 2⁴¹-1,30000,2618511,87.28370
2⁴²-30001 to 2⁴²-1,30000,2627961,87.59870
2⁴³-30001 to 2⁴³-1,30000,2770623,92.35410
2⁴⁴-30001 to 2⁴⁴-1,30000,2693687,89.78957
2⁴⁵-30001 to 2⁴⁵-1,30000,2767866,92.26220
2⁴⁶-30001 to 2⁴⁶-1,30000,2728889,90.96297
2⁴⁷-30001 to 2⁴⁷-1,30000,3043972,101.46573
2⁴⁸-30001 to 2⁴⁸-1,30000,3127045,104.23483
2⁴⁹-30001 to 2⁴⁹-1,30000,3138371,104.61237
2⁵⁰-30001 to 2⁵⁰-1,30000,3167252,105.57507
2⁵¹-30001 to 2⁵¹-1,30000,3259595,108.65317
2⁵²-30001 to 2⁵²-1,30000,3230286,107.67620
2⁵³-30001 to 2⁵³-1,30000,3326376,110.87920
2⁵⁴-30001 to 2⁵⁴-1,30000,3346765,111.55883
2⁵⁵-30001 to 2⁵⁵-1,30000,3429039,114.30130
2⁵⁶-30001 to 2⁵⁶-1,30000,3493101,116.43670
2⁵⁷-30001 to 2⁵⁷-1,30000,3459076,115.30253
2⁵⁸-30001 to 2⁵⁸-1,30000,3548016,118.26720
2⁵⁹-30001 to 2⁵⁹-1,30000,3709994,123.66647
2⁶⁰-30001 to 2⁶⁰-1,30000,3678675,122.62250
2⁶¹-30001 to 2⁶¹-1,30000,3821572,127.38573
2⁶²-30001 to 2⁶²-1,30000,3814912,127.16373
2⁶³-30001 to 2⁶³-1,30000,3832470,127.74900
2⁶⁴-30001 to 2⁶⁴-1,30000,3743296,124.77653
