Measurement range,Samples in range,Total time in nanoseconds for trial division,Average time in nanoseconds for trial division,Total time in nanoseconds for Pollard's rho,Average time in nanoseconds for Pollard's rho
2⁰ to 2¹-1,1,91,91.00000,19,19.00000
2¹ to 2²-1,2,324,162.00000,109,54.50000
2² to 2³-1,4,511,127.75000,196,49.00000
2³ to 2⁴-1,8,751,93.87500,589,73.62500
2⁴ to 2⁵-1,16,1333,83.31250,1242,77.62500
2⁵ to 2⁶-1,32,3777,118.03125,3494,109.18750
2⁶ to 2⁷-1,64,8005,125.07812,8691,135.79688
2⁷ to 2⁸-1,128,15679,122.49219,21017,164.19531
2⁸ to 2⁹-1,256,31097,121.47266,47272,184.65625
2⁹ to 2¹⁰-1,512,62155,121.39648,106413,207.83789
2¹⁰-1001 to 2¹⁰-1,1000,113181,113.18100,172007,172.00700
2¹¹-1001 to 2¹¹-1,1000,126285,126.28500,233263,233.26300
2¹²-1001 to 2¹²-1,1000,133127,133.12700,274512,274.51200
2¹³-1001 to 2¹³-1,1000,105587,105.58700,314605,314.60500
2¹⁴-1001 to 2¹⁴-1,1000,101338,101.33800,353603,353.60300
2¹⁵-1001 to 2¹⁵-1,1000,110075,110.07500,393329,393.32900
2¹⁶-1001 to 2¹⁶-1,1000,120293,120.29300,433510,433.51000
2¹⁷-1001 to 2¹⁷-1,1000,135292,135.29200,478518,478.51800
2¹⁸-1001 to 2¹⁸-1,1000,152313,152.31300,523261,523.26100
2¹⁹-1001 to 2¹⁹-1,1000,180976,180.97600,566178,566.17800
2²⁰-1001 to 2²⁰-1,1000,215421,215.42100,612502,612.50200
2²¹-1001 to 2²¹-1,1000,253681,253.68100,665394,665.39400
2²²-1001 to 2²²-1,1000,321878,321.87800,711621,711.62100
2²³-1001 to 2²³-1,1000,403170,403.17000,766048,766.04800
2²⁴-1001 to 2²⁴-1,1000,474932,474.93200,822484,822.48400
2²⁵-1001 to 2²⁵-1,1000,618079,618.07900,864666,864.66600
2²⁶-1001 to 2²⁶-1,1000,811729,811.72900,918596,918.59600
2²⁷-1001 to 2²⁷-1,1000,1038880,1038.88000,972594,972.59400
2²⁸-1001 to 2²⁸-1,1000,1371339,1371.33900,1039148,1039.14800
2²⁹-1001 to 2²⁹-1,1000,1852662,1852.66200,1102880,1102.88000
2³⁰-1001 to 2³⁰-1,1000,2596384,2596.38400,1196964,1196.96400
2³¹-1001 to 2³¹-1,1000,3378018,3378.01800,1249041,1249.04100
2³²-1001 to 2³²-1,1000,4751659,4751.65900,1334967,1334.96700
2³³-1001 to 2³³-1,1000,5913037,5913.03700,1420082,1420.08200
2³⁴-1001 to 2³⁴-1,1000,7941657,7941.65700,1502327,1502.32700
2³⁵-1001 to 2³⁵-1,1000,12427513,12427.51300,1614341,1614.34100
2³⁶-1001 to 2³⁶-1,1000,15390025,15390.02500,1717975,1717.97500
2³⁷-1001 to 2³⁷-1,1000,22346341,22346.34100,1855024,1855.02400
2³⁸-1001 to 2³⁸-1,1000,27548056,27548.05600,1971379,1971.37900
2³⁹-1001 to 2³⁹-1,1000,40454717,40454.71700,2075626,2075.62600
2⁴⁰-1001 to 2⁴⁰-1,1000,57364157,57364.15700,2236486,2236.48600
2⁴¹-1001 to 2⁴¹-1,1000,75029149,75029.14900,2356558,2356.55800
2⁴²-1001 to 2⁴²-1,1000,100175332,100175.33200,2447622,2447.62200
2⁴³-1001 to 2⁴³-1,1000,149666269,149666.26900,2550358,2550.35800
2⁴⁴-1001 to 2⁴⁴-1,1000,202740625,202740.62500,2812179,2812.17900
2⁴⁵-1001 to 2⁴⁵-1,1000,259660836,259660.83600,2942249,2942.24900
2⁴⁶-1001 to 2⁴⁶-1,1000,375054997,375054.99700,3296763,3296.76300
2⁴⁷-1001 to 2⁴⁷-1,1000,546771930,546771.93000,3731783,3731.78300
2⁴⁸-1001 to 2⁴⁸-1,1000,587619190,587619.19000,3898323,3898.32300
2⁴⁹-1001 to 2⁴⁹-1,1000,895208698,895208.69800,4048318,4048.31800
2⁵⁰-1001 to 2⁵⁰-1,1000,1415092366,1415092.36600,4574063,4574.06300
2⁵¹-1001 to 2⁵¹-1,1000,1819400386,1819400.38600,4842324,4842.32400
2⁵²-1001 to 2⁵²-1,1000,2435193119,2435193.11900,5226446,5226.44600
2⁵³-1001 to 2⁵³-1,1000,3362244807,3362244.80700,5755056,5755.05600
2⁵⁴-1001 to 2⁵⁴-1,1000,5070496006,5070496.00600,6935402,6935.40200
2⁵⁵-1001 to 2⁵⁵-1,1000,6428294164,6428294.16400,7594771,7594.77100
2⁵⁶-1001 to 2⁵⁶-1,1000,9366753905,9366753.90500,7398847,7398.84700
2⁵⁷-1001 to 2⁵⁷-1,1000,14052157357,14052157.35700,8936034,8936.03400
2⁵⁸-1001 to 2⁵⁸-1,1000,18225494054,18225494.05400,8845939,8845.93900
2⁵⁹-1001 to 2⁵⁹-1,1000,27380683192,27380683.19200,10903433,10903.43300
2⁶⁰-1001 to 2⁶⁰-1,1000,32994010664,32994010.66400,11634064,11634.06400
2⁶¹-1001 to 2⁶¹-1,1000,45496600001,45496600.00100,13383640,13383.64000
2⁶²-1001 to 2⁶²-1,1000,61696223071,61696223.07100,16874254,16874.25400
2⁶³-1001 to 2⁶³-1,1000,99117890456,99117890.45600,16928028,16928.02800
2⁶⁴-1001 to 2⁶⁴-1,1000,121930564779,121930564.77900,20899028,20899.02800
