Measurement range, Samples in range, Total time in nanoseconds, Average time in nanoseconds
2⁰ to 2¹-1,1,20,20.00000
2¹ to 2²-1,2,32,16.00000
2² to 2³-1,4,79,19.75000
2³ to 2⁴-1,8,105,13.12500
2⁴ to 2⁵-1,16,295,18.43750
2⁵ to 2⁶-1,32,1277,39.90625
2⁶ to 2⁷-1,64,2988,46.68750
2⁷ to 2⁸-1,128,5749,44.91406
2⁸ to 2⁹-1,256,12625,49.31641
2⁹ to 2¹⁰-1,512,24500,47.85156
2¹⁰ to 2¹¹-1,1024,49788,48.62109
2¹¹ to 2¹²-1,2048,103780,50.67383
2¹² to 2¹³-1,4096,207976,50.77539
2¹³ to 2¹⁴-1,8192,424457,51.81360
2¹⁴ to 2¹⁵-1,16384,848227,51.77167
2¹⁵-30001 to 2¹⁵-1,30000,1529261,50.97537
2¹⁶-30001 to 2¹⁶-1,30000,1567227,52.24090
2¹⁷-30001 to 2¹⁷-1,30000,1582741,52.75803
2¹⁸-30001 to 2¹⁸-1,30000,1603908,53.46360
2¹⁹-30001 to 2¹⁹-1,30000,1680734,56.02447
2²⁰-30001 to 2²⁰-1,30000,1719371,57.31237
2²¹-30001 to 2²¹-1,30000,1752626,58.42087
2²²-30001 to 2²²-1,30000,1804930,60.16433
2²³-30001 to 2²³-1,30000,1826459,60.88197
2²⁴-30001 to 2²⁴-1,30000,1897002,63.23340
2²⁵-30001 to 2²⁵-1,30000,1923459,64.11530
2²⁶-30001 to 2²⁶-1,30000,1957686,65.25620
2²⁷-30001 to 2²⁷-1,30000,1963430,65.44767
2²⁸-30001 to 2²⁸-1,30000,2059541,68.65137
2²⁹-30001 to 2²⁹-1,30000,2093149,69.77163
2³⁰-30001 to 2³⁰-1,30000,2130910,71.03033
2³¹-30001 to 2³¹-1,30000,2153252,71.77507
2³²-30001 to 2³²-1,30000,2200733,73.35777
2³³-30001 to 2³³-1,30000,2343249,78.10830
2³⁴-30001 to 2³⁴-1,30000,2456816,81.89387
2³⁵-30001 to 2³⁵-1,30000,2493900,83.13000
2³⁶-30001 to 2³⁶-1,30000,2586677,86.22257
2³⁷-30001 to 2³⁷-1,30000,2505480,83.51600
2³⁸-30001 to 2³⁸-1,30000,2676157,89.20523
2³⁹-30001 to 2³⁹-1,30000,2739800,91.32667
2⁴⁰-30001 to 2⁴⁰-1,30000,2715590,90.51967
2⁴¹-30001 to 2⁴¹-1,30000,2775678,92.52260
2⁴²-30001 to 2⁴²-1,30000,2783338,92.77793
2⁴³-30001 to 2⁴³-1,30000,2942695,98.08983
2⁴⁴-30001 to 2⁴⁴-1,30000,2846501,94.88337
2⁴⁵-30001 to 2⁴⁵-1,30000,2926262,97.54207
2⁴⁶-30001 to 2⁴⁶-1,30000,2869894,95.66313
2⁴⁷-30001 to 2⁴⁷-1,30000,3212956,107.09853
2⁴⁸-30001 to 2⁴⁸-1,30000,3304834,110.16113
2⁴⁹-30001 to 2⁴⁹-1,30000,3307295,110.24317
2⁵⁰-30001 to 2⁵⁰-1,30000,3338429,111.28097
2⁵¹-30001 to 2⁵¹-1,30000,3428788,114.29293
2⁵²-30001 to 2⁵²-1,30000,3387892,112.92973
2⁵³-30001 to 2⁵³-1,30000,3484665,116.15550
2⁵⁴-30001 to 2⁵⁴-1,30000,3512218,117.07393
2⁵⁵-30001 to 2⁵⁵-1,30000,3596561,119.88537
2⁵⁶-30001 to 2⁵⁶-1,30000,3658909,121.96363
2⁵⁷-30001 to 2⁵⁷-1,30000,3610020,120.33400
2⁵⁸-30001 to 2⁵⁸-1,30000,3708096,123.60320
2⁵⁹-30001 to 2⁵⁹-1,30000,3891990,129.73300
2⁶⁰-30001 to 2⁶⁰-1,30000,3840476,128.01587
2⁶¹-30001 to 2⁶¹-1,30000,3999303,133.31010
2⁶²-30001 to 2⁶²-1,30000,3984313,132.81043
2⁶³-30001 to 2⁶³-1,30000,3973668,132.45560
2⁶⁴-30001 to 2⁶⁴-1,30000,3903037,130.10123
